state,x,y
Andhra Pradesh,-91.0,-223.0
Arunachal Pradesh,313.0,135.0
Assam,248.0,86.0
Bihar,77.0,61.0
Chhattisgarh,-18.0,-54.0
Goa,-208.0,-212.0
Gujarat,-274.0,-12.0
Haryana,-154.0,169.0
Himachal Pradesh,-141.0,242.0
Jharkhand,60.0,8.0
Karnataka,-183.0,-239.0
Kerala,-156.0,-329.0
Madhya Pradesh,-102.0,-0.0
Maharashtra,-181.0,-103.0
Manipur,287.0,32.0
Meghalaya,223.0,61.0
Mizoram,261.0,6.0
Nagaland,304.0,74.0
Odisha,35.0,-74.0
Punjab,-183.0,212.0
Rajasthan,-218.0,84.0
Sikkim,148.0,120.0
Tamil Nadu,-115.0,-318.0
Telangana,-90.0,-140.0
Tripura,229.0,7.0
Uttar Pradesh,-89.0,196.0
Uttarakhand,-56.0,98.0
West Bengal,129.0,-16.0
